node1,node1_type,node1_size,node2,node2_type,node2_size
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","BCR","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","ABL1","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","KMT2A","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","AFF1","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","TCF3","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","PBX1","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","MYC","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","ETV6","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","RUNX1","gene","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Vincristine","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Prednisone","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Daunorubicin","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Asparaginase","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Methotrexate","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Cyclophosphamide","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Doxorubicin","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Dexamethasone","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","Cytarabine","drug","22"
"Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","29","6-mercaptopurine","drug","22"
"BCR","gene","22","Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","15"
"BCR","gene","22","Chronic myeloid leukemia (CML)","disease","15"
"BCR","gene","22","Immune response to smallpox vaccine (IL-6)","disease","15"
"BCR","gene","22","Height","disease","15"
"BCR","gene","22","rs575161","snp","15"
"BCR","gene","22","Heart failure NOS","disease","15"
"BCR","gene","22","Visual disturbances","disease","15"
"BCR","gene","22","Disorders of binocular eye movements","disease","15"
"BCR","gene","22","Abnormal involuntary movements","disease","15"
"BCR","gene","22","TRPV4-related peripheral neuropathies, including: Congenital distal spinal muscular atrophy (CDSMA); Scapuloperoneal spinal muscle atrophy (SPSMA); Hereditary motor and sensory neuropathy type IIC (HMSN IIC)","disease","15"
"BCR","gene","22","Bursitis","disease","15"
"BCR","gene","22","Calculus of bile duct","disease","15"
"BCR","gene","22","Diplopia and disorders of binocular vision","disease","15"
"BCR","gene","22","Deviated nasal septum","disease","15"
"BCR","gene","22","Fractur of unspecified part of femur","disease","15"
"BCR","gene","22","Chronic rheumatic disease of the heart valves","disease","15"
"BCR","gene","22","Other local infections of skin and subcutaneous tissue","disease","15"
"BCR","gene","22","Aneurysm of other specified artery","disease","15"
"BCR","gene","22","Disorders of synovium, tendon, and bursa","disease","15"
"BCR","gene","22","Erectile dysfunction and prostate cancer treatment","disease","15"
"BCR","gene","22","Viral warts & HPV","disease","15"
"BCR","gene","22","Bacterial pneumonia","disease","15"
"BCR","gene","22","Postlaminectomy syndrome","disease","15"
"BCR","gene","22","Microscopic hematuria","disease","15"
"BCR","gene","22","Urgency urinary incontinence","disease","15"
"BCR","gene","22","Benign neoplasm of respiratory and intrathoracic organs","disease","15"
"BCR","gene","22","Keratitis, infectious","disease","15"
"BCR","gene","22","Adverse effects of antibacterials (not penicillins)","disease","15"
"BCR","gene","22","Temporomandibular joint disorders","disease","15"
"BCR","gene","22","Keratoconjunctivitis, noninfectious","disease","15"
"BCR","gene","22","Crystal arthropathies","disease","15"
"BCR","gene","22","Migrain with aura","disease","15"
"BCR","gene","22","Heart valve disorders","disease","15"
"BCR","gene","22","Shingles","disease","15"
"BCR","gene","22","Disease of tricuspid valve","disease","15"
"BCR","gene","22","Hypotension NOS","disease","15"
"BCR","gene","22","Unspecified local infection of skin and subcutaneous tissue","disease","15"
"BCR","gene","22","Other headache syndromes","disease","15"
"BCR","gene","22","Dermatophytosis","disease","15"
"BCR","gene","22","Cyst or abscess of Bartholin's gland","disease","15"
"BCR","gene","22","Redundant prepuce and phimosis/BXO","disease","15"
"BCR","gene","22","Cellulitis and abscess of foot/toes","disease","15"
"BCR","gene","22","Glossodynia","disease","15"
"BCR","gene","22","Lesions of stomach and duodenum","disease","15"
"BCR","gene","22","Ulcer of esophagus","disease","15"
"BCR","gene","22","Lipoprotein-associated phospholipase A2 activity and mass","disease","15"
"BCR","gene","22","Irritable bowel syndrome","disease","15"
"BCR","gene","22","Tachycardia NOS","disease","15"
"BCR","gene","22","Neoplasm of unspecified nature of digestive system","disease","15"
"BCR","gene","22","Disorders of penis","disease","15"
"BCR","gene","22","Malaise and fatigue","disease","15"
"BCR","gene","22","Corneal opacity","disease","15"
"BCR","gene","22","Other conditions of the mother complicating pregnancy","disease","15"
"BCR","gene","22","Chondrocalcinosis","disease","15"
"BCR","gene","22","Dermatophytosis / Dermatomycosis","disease","15"
"BCR","gene","22","Elevated sedimentation rate","disease","15"
"BCR","gene","22","Ankylosis of joint","disease","15"
"BCR","gene","22","Postmenopausal hormone replacement","disease","15"
"BCR","gene","22","Leukoplakia of oral mucosa","disease","15"
"BCR","gene","22","Macular degeneration, including: Age-related macular degeneration (ARMD); Patterned dystrophy of retinal pigment epithelium (PDREP); Retinal macular dystrophy 2 (MCDR2); X-linked atrophic macular degeneration (MDXLA)","disease","15"
"BCR","gene","22","Frequency of urination and polyuria","disease","15"
"BCR","gene","22","Epiphora","disease","15"
"BCR","gene","22","Liver abscess and sequelae of chronic liver disease","disease","15"
"BCR","gene","22","Other disorders of stomach and duodenum","disease","15"
"BCR","gene","22","Renal cell carcinoma","disease","15"
"BCR","gene","22","Sexually transmitted infections","disease","15"
"BCR","gene","22","Functional digestive disorders","disease","15"
"BCR","gene","22","Disturbance of salivary secretion","disease","15"
"BCR","gene","22","Hematemesis","disease","15"
"BCR","gene","22","Angina pectoris","disease","15"
"BCR","gene","22","Imatinib","drug","15"
"BCR","gene","22","Suicidal ideation in depression or bipolar disorder","disease","15"
"BCR","gene","22","lithium","drug","15"
"BCR","gene","22","ABL1","gene","15"
"BCR","gene","22","KMT2A","gene","15"
"BCR","gene","22","AFF1","gene","15"
"BCR","gene","22","TCF3","gene","15"
"BCR","gene","22","PBX1","gene","15"
"BCR","gene","22","MYC","gene","15"
"BCR","gene","22","ETV6","gene","15"
"BCR","gene","22","RUNX1","gene","15"
"BCR","gene","22","Vincristine","drug","15"
"BCR","gene","22","Prednisone","drug","15"
"BCR","gene","22","Daunorubicin","drug","15"
"BCR","gene","22","Asparaginase","drug","15"
"BCR","gene","22","Methotrexate","drug","15"
"BCR","gene","22","Cyclophosphamide","drug","15"
"BCR","gene","22","Doxorubicin","drug","15"
"BCR","gene","22","Dexamethasone","drug","15"
"BCR","gene","22","Cytarabine","drug","15"
"BCR","gene","22","6-mercaptopurine","drug","15"
"BCR","gene","22","MECOM","gene","15"
"BCR","gene","22","CDKN2A","gene","15"
"BCR","gene","22","TP53","gene","15"
"BCR","gene","22","RB1","gene","15"
"BCR","gene","22","Imatinib mesylate (Gleevec)","drug","15"
"BCR","gene","22","Nilotinib","drug","15"
"BCR","gene","22","Dasatinib","drug","15"
"BCR","gene","22","rs9608102","snp","15"
"BCR","gene","22","rs5751614","snp","15"
"ABL1","gene","22","Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","15"
"ABL1","gene","22","BCR","gene","15"
"ABL1","gene","22","Chronic myeloid leukemia (CML)","disease","15"
"ABL1","gene","22","Response to amphetamines","disease","15"
"ABL1","gene","22","Imatinib","drug","15"
"ABL1","gene","22","Leukemia","disease","15"
"ABL1","gene","22","Recurrence","disease","15"
"ABL1","gene","22","KMT2A","gene","15"
